id,nombre,categoria,subcategoria,descripcion_corta,descripcion_larga,imagen,opcion_1,precio_1,imagen_1,opcion_2,precio_2,imagen_2
SINTACC1,SUPER COMBO 1 - SIN TACC,promociones,,,,SIN TACC 1.jpeg,,16463,,,,
SINTACC2,SUPER COMBO 2 - SIN TACC,promociones,,,,SIN TACC 2.jpeg,,13380,,,,
SINTACC3,SUPER COMBO 3 - SIN TACC,promociones,,,,SIN TACC 3.jpeg,,16396,,,,
COMBO1,COMBO 1,promociones,,,,COMBO 1.jpeg,,13603.3,,,,
COMBO2,COMBO 2,promociones,,,,COMBO 2.jpeg,,17279.82,,,,
COMBO3,COMBO 3,promociones,,,,COMBO 3.jpeg,,12143.69,,,,
COMBO4,COMBO 4,promociones,,,,COMBO 4.jpeg,,14091.6,,,,
SURTIDOS,FIAMBRES  SURTIDOS,promociones,,,,SURTIDOS.jpeg,,9800,,,,
ALITAS,ALITAS DE POLLO,pollo,,,,Alitas.jpeg,,4031,,,,
Chorizos,CHORIZOS DE CERDO,cerdo,,,,Chorizos de Cerdo.jpeg,,6814,,,,
Costeletas,COSTELETAS DE CERDO,cerdo,,,,Costeletas de cerdo.jpeg,,8850,,,,
Costillas,COSTILLAS DE CERDO,cerdo,,,,Costillas de Cerdo.jpeg,,8925,,,,
PataMuslo,PATA MUSLO,pollo,,,,Pata Muslo.jpeg,,3888,,,,
Pechuga,PECHUGA DE POLLO,pollo,,,,Pechuga de Pollo.jpeg,,8732,,,,
CremosoSM,QUESO CREMOSO SANTA MARÍA,quesos,,,,Queso Cremoso 3.jpeg,,9301.5,,,,
CremosoED,QUESO CREMOSO EL DESTINO,quesos,,,,Queso Cremoso.jpeg,,8491.03,,,,
CremosoPA,QUESO CREMOSO PUNTA DEL AGUA,quesos,,,,Queso Cremoso.jpeg,,11217.25,,,,
CremosoSL,QUESO CREMOSO SAN LUCAS,quesos,,,,Queso Cremoso2.jpeg,,7582.61,,,,
